0003 ENGLISH 9      D
0003 GEOMETRY       F
0003 EARTH SCIENCE  B
0003 CIVICS         B
0003 PHYS ED        B
0003 LATIN 1        A
0004 ENGLISH 10     C
0004 ALGEBRA 2      A
0004 BIOLOGY 1      C
0004 WORLD HISTORY  C
0004 PHYS ED        A
0004 AUTO SHOP      D
0005 ENGLISH 12     C
0005 TRIGONOMETRY   C
0005 CHEMISTRY      A
0005 ECONOMICS      B
0005 PHYS ED        B
0005 AUTO SHOP      B
0006 ENGLISH 12     F
0006 CALCULUS       D
0006 CHEMISTRY      B
0006 ECONOMICS      A
0006 PHYS ED        F
0006 TYPING 1       F
0007 ENGLISH 12     F
0007 TRIGONOMETRY   B
0007 CHEMISTRY      A
0007 ECONOMICS      C
0007 PHYS ED        A
0007 BAND           C
0007 METAL SHOP     C
0008 ENGLISH 11     A
0008 TRIGONOMETRY   F
0008 CHEMISTRY      B
0008 US HISTORY     B
0008 PHYS ED        C
0008 TYPING 1       D
0009 ENGLISH 10     F
0009 ALGEBRA 2      A
0009 BIOLOGY 1      A
0009 WORLD HISTORY  B
0009 PHYS ED        C
0009 METAL SHOP     C
0010 ENGLISH 9      A
0010 ALGEBRA 1      B
0010 GEN SCIENCE    C
0010 CIVICS         A
0010 PHYS ED        B
0010 GERMAN 1       A
0011 ENGLISH 10     D
0011 ALGEBRA 2      D
0011 BIOLOGY 1      A
0011 WORLD HISTORY  D
0011 PHYS ED        A
0011 SPANISH 1      B
0011 FRENCH 2       B
0012 ENGLISH 11     B
0012 TRIGONOMETRY   B
0012 CHEMISTRY      A
0012 US HISTORY     C
0012 PHYS ED        A
0012 TYPING 1       C
0012 METAL SHOP     B
0013 ENGLISH 11     F
0013 ALGEBRA 2      F
0013 CHEMISTRY      B
0013 US HISTORY     F
0013 PHYS ED        A
0013 LATIN 1        B
0014 ENGLISH 12     C
0014 TRIGONOMETRY   B
0014 CHEMISTRY      A
0014 ECONOMICS      A
0014 PHYS ED        A
0014 TYPING 1       A
0015 ENGLISH 12     B
0015 TRIGONOMETRY   B
0015 CHEMISTRY      A
0015 ECONOMICS      C
0015 PHYS ED        B
0015 JOURNALISM     F
0015 COMPUTER LAB   A
0016 ENGLISH 9      B
0016 GEOMETRY       D
0016 GEN SCIENCE    F
0016 CIVICS         F
0016 PHYS ED        B
0016 FRENCH 1       C
0017 ENGLISH 10     B
0017 ALGEBRA 2      C
0017 BIOLOGY 1      A
0017 WORLD HISTORY  A
0017 PHYS ED        B
0017 BAND           F
0017 COMPUTER LAB   F
0018 ENGLISH 11     C
0018 TRIGONOMETRY   C
0018 BIOLOGY 2      C
0018 US HISTORY     C
0018 PHYS ED        B
0018 HOME EC        D
0019 ENGLISH 10     C
0019 ALGEBRA 2      F
0019 BIOLOGY 1      A
0019 WORLD HISTORY  D
0019 PHYS ED        A
0019 METAL SHOP     C
0020 ENGLISH 12     C
0020 CALCULUS       C
0020 PHYSICS        A
0020 ECONOMICS      A
0020 PHYS ED        A
0020 LATIN 1        B
0021 ENGLISH 9      C
0021 ALGEBRA 1      B
0021 GEN SCIENCE    A
0021 CIVICS         B
0021 PHYS ED        B
0021 SPANISH 1      F
0021 ART 1          B
0022 ENGLISH 11     C
0022 TRIGONOMETRY   A
0022 CHEMISTRY      C
0022 US HISTORY     C
0022 PHYS ED        C
0022 BAND           D
0023 ENGLISH 10     C
0023 ALGEBRA 2      D
0023 BIOLOGY 1      D
0023 WORLD HISTORY  A
0023 PHYS ED        C
0023 HOME EC        C
0024 ENGLISH 9      B
0024 GEOMETRY       B
0024 GEN SCIENCE    C
0024 CIVICS         B
0024 PHYS ED        C
0024 DRAMA          A
0025 ENGLISH 12     F
0025 TRIGONOMETRY   B
0025 PHYSICS        A
0025 ECONOMICS      D
0025 PHYS ED        A
0025 LATIN 1        C
0026 ENGLISH 9      B
0026 ALGEBRA 1      B
0026 GEN SCIENCE    B
0026 CIVICS         C
0026 PHYS ED        C
0026 WOOD SHOP      D
0027 ENGLISH 11     C
0027 ALGEBRA 2      A
0027 BIOLOGY 2      C
0027 US HISTORY     C
0027 PHYS ED        A
0027 WOOD SHOP      C
0028 ENGLISH 10     C
0028 ALGEBRA 2      B
0028 BIOLOGY 1      B
0028 WORLD HISTORY  B
0028 PHYS ED        C
0028 JOURNALISM     D
0028 SPANISH 1      C
0029 ENGLISH 10     B
0029 ALGEBRA 2      A
0029 BIOLOGY 1      B
0029 WORLD HISTORY  A
0029 PHYS ED        B
0029 FRENCH 2       B
0030 ENGLISH 11     B
0030 TRIGONOMETRY   C
0030 CHEMISTRY      A
0030 US HISTORY     B
0030 PHYS ED        C
0030 COMPUTER LAB   C
0031 ENGLISH 10     B
0031 GEOMETRY       A
0031 BIOLOGY 1      A
0031 WORLD HISTORY  D
0031 PHYS ED        A
0031 FRENCH 1       B
0032 ENGLISH 12     B
0032 CALCULUS       C
0032 CHEMISTRY      B
0032 ECONOMICS      A
0032 PHYS ED        B
0032 HOME EC        B
0033 ENGLISH 11     F
0033 TRIGONOMETRY   C
0033 BIOLOGY 2      D
0033 US HISTORY     C
0033 PHYS ED        F
0033 TYPING 1       B
0034 ENGLISH 12     D
0034 CALCULUS       F
0034 PHYSICS        B
0034 ECONOMICS      A
0034 PHYS ED        C
0034 CHOIR          C
0035 ENGLISH 9      D
0035 ALGEBRA 1      C
0035 EARTH SCIENCE  B
0035 CIVICS         B
0035 PHYS ED        A
0035 SPANISH 2      C
0036 ENGLISH 10     C
0036 ALGEBRA 2      B
0036 BIOLOGY 1      F
0036 WORLD HISTORY  C
0036 PHYS ED        A
0036 FRENCH 1       C
0037 ENGLISH 12     B
0037 TRIGONOMETRY   F
0037 CHEMISTRY      C
0037 ECONOMICS      D
0037 PHYS ED        B
0037 FRENCH 2       C
0038 ENGLISH 9      F
0038 GEOMETRY       C
0038 GEN SCIENCE    D
0038 CIVICS         B
0038 PHYS ED        D
0038 GERMAN 1       B
0039 ENGLISH 9      C
0039 ALGEBRA 1      C
0039 GEN SCIENCE    C
0039 CIVICS         C
0039 PHYS ED        C
0039 COMPUTER LAB   D
0040 ENGLISH 9      C
0040 ALGEBRA 1      C
0040 EARTH SCIENCE  C
0040 CIVICS         C
0040 PHYS ED        C
0040 COMPUTER LAB   A
0040 WOOD SHOP      B
0041 ENGLISH 10     F
0041 ALGEBRA 2      F
0041 BIOLOGY 1      D
0041 WORLD HISTORY  B
0041 PHYS ED        B
0041 BAND           C
0042 ENGLISH 10     D
0042 ALGEBRA 2      B
0042 BIOLOGY 1      D
0042 WORLD HISTORY  C
0042 PHYS ED        B
0042 LATIN 1        A
0043 ENGLISH 9      B
0043 ALGEBRA 1      D
0043 EARTH SCIENCE  C
0043 CIVICS         B
0043 PHYS ED        B
0043 LATIN 1        C
0044 ENGLISH 10     C
0044 ALGEBRA 2      C
0044 BIOLOGY 1      B
0044 WORLD HISTORY  B
0044 PHYS ED        C
0044 JOURNALISM     B
0045 ENGLISH 11     A
0045 TRIGONOMETRY   B
0045 CHEMISTRY      A
0045 US HISTORY     B
0045 PHYS ED        F
0045 ART 1          C
0046 ENGLISH 11     C
0046 ALGEBRA 2      F
0046 CHEMISTRY      B
0046 US HISTORY     C
0046 PHYS ED        C
0046 CHOIR          F
0046 HOME EC        C
0047 ENGLISH 12     A
0047 TRIGONOMETRY   F
0047 PHYSICS        C
0047 ECONOMICS      B
0047 PHYS ED        C
0047 BAND           C
0047 SPANISH 1      C
0048 ENGLISH 10     B
0048 ALGEBRA 2      D
0048 BIOLOGY 1      B
0048 WORLD HISTORY  F
0048 PHYS ED        F
0048 WOOD SHOP      F
0049 ENGLISH 9      C
0049 GEOMETRY       B
0049 GEN SCIENCE    A
0049 CIVICS         F
0049 PHYS ED        B
0049 SPANISH 1      B
0050 ENGLISH 9      C
0050 ALGEBRA 1      C
0050 GEN SCIENCE    C
0050 CIVICS         C
0050 PHYS ED        F
0050 FRENCH 1       B
0051 ENGLISH 10     A
0051 ALGEBRA 2      A
0051 BIOLOGY 1      D
0051 WORLD HISTORY  D
0051 PHYS ED        B
0051 WOOD SHOP      D
0052 ENGLISH 10     C
0052 ALGEBRA 2      B
0052 BIOLOGY 1      C
0052 WORLD HISTORY  A
0052 PHYS ED        C
0052 DRAMA          C
0053 ENGLISH 12     B
0053 TRIGONOMETRY   C
0053 PHYSICS        C
0053 ECONOMICS      D
0053 PHYS ED        B
0053 METAL SHOP     B
0054 ENGLISH 9      F
0054 GEOMETRY       C
0054 EARTH SCIENCE  D
0054 CIVICS         C
0054 PHYS ED        C
0054 SPANISH 1      C
0055 ENGLISH 11     A
0055 TRIGONOMETRY   C
0055 CHEMISTRY      C
0055 US HISTORY     B
0055 PHYS ED        A
0055 ART 1          A
0056 ENGLISH 12     A
0056 TRIGONOMETRY   A
0056 CHEMISTRY      B
0056 ECONOMICS      C
0056 PHYS ED        F
0056 BAND           C
0057 ENGLISH 12     F
0057 TRIGONOMETRY   C
0057 CHEMISTRY      C
0057 ECONOMICS      B
0057 PHYS ED        B
0057 FRENCH 1       A
0057 CHOIR          A
0058 ENGLISH 10     C
0058 ALGEBRA 2      C
0058 BIOLOGY 1      B
0058 WORLD HISTORY  C
0058 PHYS ED        B
0058 FRENCH 2       C
0059 ENGLISH 10     A
0059 ALGEBRA 2      D
0059 BIOLOGY 1      B
0059 WORLD HISTORY  B
0059 PHYS ED        C
0059 METAL SHOP     C
0060 ENGLISH 10     D
0060 ALGEBRA 2      B
0060 BIOLOGY 1      D
0060 WORLD HISTORY  A
0060 PHYS ED        B
0060 DRAMA          C
0061 ENGLISH 10     B
0061 GEOMETRY       A
0061 BIOLOGY 1      B
0061 WORLD HISTORY  C
0061 PHYS ED        B
0061 FRENCH 2       C
0061 DRIVER ED      B
0062 ENGLISH 10     C
0062 ALGEBRA 2      B
0062 BIOLOGY 1      B
0062 WORLD HISTORY  A
0062 PHYS ED        A
0062 CHOIR          C
0063 ENGLISH 9      F
0063 ALGEBRA 1      B
0063 EARTH SCIENCE  B
0063 CIVICS         C
0063 PHYS ED        A
0063 SPANISH 2      A
0063 GERMAN 1       B
0064 ENGLISH 12     C
0064 CALCULUS       C
0064 CHEMISTRY      A
0064 ECONOMICS      B
0064 PHYS ED        C
0064 HOME EC        F
0065 ENGLISH 9      F
0065 ALGEBRA 1      D
0065 EARTH SCIENCE  B
0065 CIVICS         B
0065 PHYS ED        F
0065 BAND           A
0065 COMPUTER LAB   F
0066 ENGLISH 12     C
0066 TRIGONOMETRY   C
0066 CHEMISTRY      B
0066 ECONOMICS      A
0066 PHYS ED        D
0066 AUTO SHOP      C
0066 HOME EC        B
0067 ENGLISH 10     B
0067 GEOMETRY       B
0067 BIOLOGY 1      A
0067 WORLD HISTORY  B
0067 PHYS ED        C
0067 BAND           B
0068 ENGLISH 12     C
0068 CALCULUS       A
0068 PHYSICS        D
0068 ECONOMICS      A
0068 PHYS ED        B
0068 BAND           D
0068 JOURNALISM     D
